BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2024-08-25,1888.0,1905.0,1724.8,7367,1.35913543E7,207
2024-08-22,1760.0,1778.2,1734.0,3220,5665347.6,85
2024-08-21,1750.0,1790.0,1750.0,2458,4340481.2,72
2024-08-18,1775.0,1800.0,1761.0,4050,7202337.4,100
2024-08-15,1790.0,1830.0,1785.0,2638,4757358.8,91
2024-08-14,1797.6,1840.0,1788.0,4260,7662318.4,104
2024-08-13,1810.0,1880.0,1800.0,4972,9096893.4,143
2024-08-12,1871.0,1957.0,1871.0,5071,9668962.7,125
2024-08-11,1919.0,1924.8,1825.0,4824,9167789.2,137
2024-08-08,1819.9,1887.0,1785.0,8915,1.61485329E7,161
2024-08-07,1853.0,1890.0,1845.5,1700,3173021.3,66
2024-08-06,1845.0,1900.0,1823.0,2736,5102751.3,90
2024-08-05,1885.0,1936.0,1866.0,3943,7438890.4,86
2024-08-01,1899.0,1970.0,1882.0,4559,8670417.1,111
2024-07-31,1930.0,1999.0,1915.0,7584,1.46855684E7,149
2024-07-30,1960.0,1988.0,1912.0,5237,1.01834584E7,111
2024-07-29,1958.9,2152.0,1905.0,9172,1.8131922E7,267
2024-07-28,2100.0,2277.0,2064.0,9721,2.07700345E7,201
2024-07-25,2106.0,2140.0,2059.0,7074,1.48225185E7,178
2024-07-24,2024.0,2045.0,1901.0,16901,3.39655129E7,311
2024-07-23,1896.0,1918.0,1844.0,12157,2.31298092E7,136
2024-07-22,1875.0,1926.9,1873.0,3411,6436348.7,81
2024-07-21,1890.0,1924.7,1880.0,4528,8571985.7,94
2024-07-18,1887.0,1925.0,1877.4,6111,1.16079975E7,146
2024-07-17,1870.0,1927.8,1856.1,4371,8288783.3,86
2024-07-16,1856.0,1887.0,1821.0,2726,5075629.0,58
2024-07-15,1821.0,1912.0,1821.0,3973,7342250.3,97
2024-07-14,1875.0,1945.0,1864.0,4116,7757419.1,100
2024-07-11,1870.0,1920.0,1870.0,4914,9304501.7,116
2024-07-10,1918.0,1999.0,1900.0,6286,1.22002397E7,154
2024-07-09,1900.0,1925.0,1750.1,10548,1.95494106E7,230
2024-07-08,1784.0,1810.0,1746.1,4279,7567614.2,72
2024-07-07,1788.0,1805.4,1740.0,2880,5102159.5,66
2024-07-04,1770.0,1806.4,1750.0,4094,7228800.3,81
2024-07-03,1771.0,1790.0,1740.7,541,959640.8,22
2024-07-02,1775.0,1890.0,1760.0,2146,3823797.0,56
2024-07-01,1750.0,1753.0,1710.7,1025,1784798.0,33
2024-06-30,1740.0,1764.9,1730.2,3336,5857038.1,48
2024-06-27,1761.0,1789.0,1761.0,2398,4261457.0,74
2024-06-26,1789.0,1810.0,1761.0,2184,3889592.4,82
2024-06-25,1783.1,1818.6,1780.0,6325,1.13585964E7,135
2024-06-24,1783.0,1813.0,1782.0,2125,3813252.9,76
2024-06-23,1782.1,1800.0,1780.0,5723,1.02539018E7,71
2024-06-20,1790.0,1839.0,1790.0,3427,6191329.0,89
2024-06-19,1822.0,1840.0,1780.1,1554,2829781.0,61
2024-06-18,1815.0,1869.9,1800.0,7087,1.28493581E7,150
2024-06-16,1850.0,1878.0,1775.0,4425,8024048.3,132
2024-06-13,1842.1,1879.0,1840.0,5133,9511726.7,151
2024-06-12,1870.0,2037.0,1847.3,4586,8678384.3,86
2024-06-11,1885.0,1898.0,1840.0,2972,5531858.6,78
2024-06-10,1887.0,1924.9,1845.0,3217,6017862.5,87
2024-06-09,1900.0,1917.0,1862.0,3651,6887725.1,96
2024-06-06,1880.0,1947.1,1870.0,7092,1.34005691E7,107
2024-06-05,1909.0,1942.0,1885.0,3993,7604771.3,89
2024-06-04,1919.0,1948.0,1877.1,2033,3924936.7,69
2024-06-03,1912.0,1930.8,1862.0,3132,5974325.1,97
2024-06-02,1893.0,1895.0,1830.0,2564,4780099.5,56
2024-05-30,1843.2,1893.0,1830.0,3957,7355567.2,86
2024-05-29,1865.0,1924.0,1840.0,2669,4987760.4,86
2024-05-27,1877.0,1948.0,1805.0,4851,9214361.8,116
2024-05-26,1875.0,1925.0,1875.0,4667,8847121.0,111
2024-05-22,1930.0,1989.0,1844.8,3669,7082424.7,94
2024-05-21,1999.0,2025.0,1880.0,8195,1.57277117E7,167
2024-05-20,1913.0,1998.9,1911.0,5543,1.07969889E7,195
2024-05-19,2000.0,2114.0,1980.0,11153,2.23282152E7,240
2024-05-16,2110.0,2138.5,2000.0,15425,3.15137233E7,246
2024-05-15,2139.3,2420.0,2139.3,8965,1.9204821E7,181
2024-05-14,2377.0,2377.0,2063.0,19397,4.08962524E7,274
2024-05-13,2200.0,2204.0,1964.0,10827,2.19068756E7,167
2024-05-12,2004.0,2088.0,1932.6,8838,1.73636786E7,124
2024-05-09,2050.0,2160.0,1888.0,24117,4.76451532E7,212
2024-05-08,2004.5,2023.0,1910.0,13703,2.73101085E7,209
2024-05-07,1910.1,1945.0,1791.0,4883,9128090.2,89
2024-05-06,1825.0,2029.0,1802.8,5311,9697482.0,80
2024-05-05,1877.0,1907.1,1847.3,2794,5240573.5,72
2024-05-02,1946.0,1994.1,1860.0,2763,5396898.9,87
2024-04-30,1980.0,2077.6,1916.5,9233,1.80103217E7,169
2024-04-29,2120.0,2129.0,1900.0,10477,2.01929189E7,112
2024-04-28,1970.0,1998.0,1906.0,3806,7382109.6,88
2024-04-25,1968.8,1972.9,1910.0,6747,1.31548349E7,113
2024-04-24,1940.0,1941.5,1800.0,15237,2.89172475E7,239
2024-04-22,1765.0,1880.0,1715.1,3296,5796588.8,70
2024-04-21,1750.1,1871.0,1693.7,5349,9319719.3,96
2024-04-18,1836.0,1872.0,1652.4,11579,1.98242648E7,175
2024-04-16,1836.0,1857.5,1705.9,7643,1.3566184E7,196
2024-04-15,1895.4,2063.9,1895.4,565,1075286.0,24
2024-04-14,2106.0,2386.8,2106.0,713,1524555.0,18
2024-04-10,2340.0,2340.0,1956.0,13160,2.60166518E7,201
2024-04-09,2172.0,2259.0,1957.0,22607,4.46102361E7,341
2024-04-07,2173.6,2173.6,1896.0,18536,3.57108319E7,273
2024-04-04,1976.0,1976.0,1760.9,9997,1.87959431E7,227
2024-04-03,1796.8,1796.8,1600.9,15658,2.70444945E7,246
2024-04-02,1633.5,1633.5,1456.0,16215,2.54256458E7,287
2024-04-01,1485.0,1485.0,1340.0,16490,2.35816609E7,246
2024-03-31,1350.0,1350.0,1317.0,5423,7247991.2,58
2024-03-28,1317.0,1359.9,1315.1,1805,2392618.6,43
2024-03-27,1341.9,1355.0,1293.0,1337,1768860.3,32
2024-03-26,1318.0,1378.5,1316.0,2306,3102999.0,55
2024-03-25,1325.0,1397.0,1320.0,7310,9840793.6,91
2024-03-21,1424.9,1536.0,1383.1,14168,1.99039529E7,157
2024-03-20,1507.0,1507.0,1276.0,5994,8038880.8,112
2024-03-19,1370.8,1407.0,1281.0,3155,4120270.0,102
2024-03-18,1350.0,1449.0,1238.0,5426,7123275.0,104
2024-03-17,1341.0,1341.0,1133.0,5563,6793892.3,125
2024-03-14,1224.0,1224.8,1080.0,5047,5596595.1,110
2024-03-13,1113.5,1136.0,1036.0,5344,5705142.6,113
2024-03-12,1036.0,1058.0,996.0,2284,2338355.8,51
2024-03-10,994.0,994.0,962.0,1337,1310791.0,33
2024-03-07,951.6,969.0,933.0,900,857057.9,10
2024-03-06,950.0,975.1,932.0,627,596922.0,19
2024-03-05,995.0,995.0,911.0,1770,1664793.4,44
2024-03-04,915.1,915.1,915.1,10,9151.0,1
2024-03-03,897.2,898.0,897.0,109,97796.3,5
2024-02-29,915.0,915.0,900.0,1128,1025840.0,16
2024-02-28,914.0,952.6,914.0,291,270617.0,13
2024-02-27,972.0,972.0,891.0,1542,1420476.0,38
2024-02-26,900.0,972.0,890.0,1028,940040.0,26
2024-02-25,900.0,913.5,897.0,787,711393.8,22
2024-02-22,896.0,925.9,892.0,249,224835.0,12
2024-02-21,890.0,920.0,883.6,388,347102.4,15
2024-02-20,920.0,974.9,890.0,1379,1254571.1,26
2024-02-18,890.4,927.1,890.4,737,661708.0,27
2024-02-15,927.0,975.0,925.0,737,685299.0,15
2024-02-14,943.0,963.0,943.0,1616,1527454.0,31
2024-02-13,979.0,1105.0,975.8,6014,5950074.6,106
2024-02-12,1084.2,1084.2,965.0,4702,4670437.6,87
2024-02-11,1003.0,1100.0,981.0,5184,5260100.9,94
2024-02-08,1080.0,1096.0,973.0,6523,6440483.4,135
2024-02-07,1075.8,1075.8,912.0,3104,2952095.5,89
2024-02-06,978.0,978.0,866.0,4531,4093760.1,69
2024-02-05,893.8,912.0,831.0,1540,1302788.9,25
2024-02-04,830.0,830.0,810.0,756,618599.6,21
2024-02-01,824.8,833.0,810.5,844,693722.3,23
2024-01-31,841.0,869.5,839.0,904,769924.5,36
2024-01-30,879.0,947.9,871.0,494,435850.5,27
2024-01-29,930.0,930.0,863.0,2382,2092835.7,46
2024-01-28,934.9,934.9,934.9,11,10283.9,1
2024-01-25,920.0,960.0,890.0,153,140217.0,12
2024-01-24,907.0,923.0,872.0,7259,6533173.6,121
2024-01-23,855.0,890.5,821.5,2468,2081552.0,47
2024-01-22,908.6,964.9,908.6,30,28006.0,3
2024-01-21,946.0,946.0,814.6,1296,1095629.6,33
2024-01-18,882.0,882.0,882.0,10,8820.0,1
2024-01-17,900.0,938.3,821.1,2169,1831132.7,54
2024-01-16,853.0,860.0,820.0,510,432520.6,20
2024-01-14,817.0,863.0,784.0,2027,1641198.4,39
2024-01-11,800.0,818.4,732.3,1860,1450907.1,44
2024-01-10,744.0,789.0,744.0,1125,870046.8,24
2024-01-09,745.0,760.0,689.2,2565,1884405.7,50
2024-01-08,703.0,760.0,691.0,3192,2300678.9,50
2024-01-07,691.2,720.0,685.5,872,610542.8,14
2024-01-04,685.2,726.0,685.2,644,453479.2,14
2024-01-03,698.7,698.7,675.0,612,417884.9,19
2024-01-02,685.0,698.0,676.0,1472,1006549.0,22
2024-01-01,700.0,717.0,677.0,550,384594.0,24
2023-12-28,677.0,718.0,677.0,41,28447.7,4
2023-12-27,718.0,734.0,705.6,2403,1733050.2,25
2023-12-24,734.0,734.5,707.6,462,331299.4,19
2023-12-21,720.1,740.0,720.1,1039,759448.6,20
2023-12-20,741.0,741.0,700.0,2298,1640756.5,37
2023-12-19,728.0,745.6,690.0,521,378852.7,17
2023-12-18,731.0,731.0,685.1,815,576750.5,25
2023-12-17,698.0,698.0,641.5,413,269834.5,24
2023-12-14,645.2,679.0,645.2,113,75005.0,9
2023-12-13,679.0,679.0,657.0,123,81111.0,5
2023-12-12,670.0,670.0,650.1,279,183974.0,16
2023-12-11,659.0,672.0,612.5,413,260586.0,18
2023-12-10,612.8,612.8,600.8,20,12136.0,2
2023-12-07,589.1,601.0,589.1,36,21338.3,3
2023-12-06,590.6,591.1,590.2,71,41949.1,4
2023-12-05,601.1,601.1,600.1,109,65504.9,5
2023-12-04,608.0,608.0,608.0,10,6080.0,1
2023-12-03,608.0,633.0,607.5,194,118695.6,10
2023-11-30,645.0,645.0,640.0,22,14130.0,2
2023-11-29,640.0,640.0,640.0,10,6400.0,1
2023-11-28,646.6,646.6,622.0,80,50716.0,5
2023-11-27,634.0,634.0,622.3,33,20769.9,3
2023-11-26,635.0,637.9,606.0,210,130747.0,13
2023-11-23,615.0,615.0,615.0,20,12300.0,1
2023-11-22,615.5,615.5,615.5,13,8001.5,1
2023-11-21,625.1,625.1,625.1,26,16252.6,2
2023-11-20,637.0,637.0,637.0,130,82810.0,3
2023-11-09,650.0,650.0,650.0,70,45500.0,1
2023-11-08,652.8,652.8,652.8,2,1280.0,1
2023-11-07,652.8,652.8,625.1,88,55734.3,7
2023-11-06,625.1,626.0,625.1,83,51901.3,3
2023-11-05,630.0,630.0,630.0,89,56070.0,3
2023-11-02,638.3,640.0,638.3,163,104197.9,6
2023-11-01,650.0,650.0,650.0,13,8450.0,1
2023-10-31,649.4,649.4,640.1,81,52138.4,3
2023-10-30,650.0,650.0,650.0,23,14950.0,2
2023-10-29,651.0,663.0,651.0,26,17082.0,2
2023-10-19,676.0,689.2,675.5,73,49742.0,7
2023-10-18,689.7,692.0,679.0,83,57208.0,6
2023-10-17,669.9,669.9,651.1,69,45241.3,5
2023-10-16,657.7,657.7,657.4,46,30247.9,4
2023-10-12,670.7,671.0,657.6,250,165415.2,9
2023-10-11,684.0,684.0,673.2,30,20372.0,3
2023-10-10,686.9,686.9,673.5,106,71748.0,5
2023-10-09,660.3,673.2,660.0,71,47059.7,6
2023-10-08,666.1,670.0,666.1,56,37341.6,5
2023-10-05,679.0,679.0,679.0,0,0.0,0
2023-10-04,679.0,710.0,673.0,450,313219.8,10
2023-10-03,700.0,700.0,676.0,209,143396.0,9
2023-10-02,689.5,689.5,676.0,33,22543.0,3
2023-10-01,699.0,699.0,665.0,170,115392.3,9
2023-09-27,702.0,703.0,689.0,73,50560.0,4
2023-09-26,703.0,703.0,682.0,104,71603.6,5
2023-09-25,690.0,690.0,690.0,12,8280.0,1
2023-09-24,690.0,702.0,688.0,34,23438.0,4
2023-09-21,702.0,702.0,670.0,429,291728.0,14
2023-09-19,663.0,663.0,650.0,35,23029.5,3
2023-09-18,674.8,674.8,674.8,10,6748.0,1
2023-09-17,688.5,688.5,688.5,0,0.0,0
2023-09-13,688.5,688.5,681.0,39,26617.9,4
2023-09-12,685.0,685.0,685.0,10,6850.0,1
2023-09-11,688.0,700.0,688.0,165,113693.0,7
2023-09-10,693.6,693.6,655.0,202,135824.0,11
2023-09-07,678.0,690.0,678.0,56,38520.0,2
2023-09-05,678.2,678.2,664.9,286,190321.0,3
2023-09-04,665.0,690.2,665.0,565,379667.5,19
2023-09-03,690.1,705.0,677.3,219,151532.8,10
2023-08-30,715.0,722.8,695.1,205,144652.6,10
2023-08-29,737.5,737.5,683.0,442,308385.0,18
2023-08-28,710.0,710.1,710.0,61,43312.1,3
2023-08-27,724.3,734.0,690.1,125,89002.9,11
